#data counter step time
0 1 0 0
1 2 1 0
0 3 2 0
1 4 3 0
0 5 6 0
1 6 7 0
0 7 8 0
1 8 13 0
2 9 14 0
1 10 15 0
0 11 17 0
1 12 21 1
2 13 22 1
3 14 23 1
4 15 24 1
3 16 25 1
4 17 26 1
5 18 28 1
4 19 29 1
5 20 30 1
4 21 32 1
5 22 34 1
4 23 35 1
3 24 39 1
4 25 42 2
3 26 43 2
2 27 44 2
1 28 49 2
0 29 51 2
1 30 56 3
0 31 57 3
1 32 59 3
0 33 60 3
1 34 62 3
2 35 63 3
1 36 65 3
2 37 66 3
3 38 68 3
4 39 69 3
5 40 71 3
4 41 72 3
3 42 75 3
2 43 77 3
1 44 80 3
0 45 83 3
1 46 85 4
0 47 88 4
1 48 90 4
2 49 91 4
1 50 93 4
0 51 96 4
1 52 99 5
0 53 102 5
1 54 105 6
0 55 106 6
1 56 107 6
0 57 108 6
1 58 109 6
0 59 113 7
1 60 114 7
0 61 115 7
1 62 119 7
2 63 120 7
1 64 121 7
0 65 124 7
1 66 127 7
0 67 128 7
1 68 131 7
0 69 132 7
1 70 133 7
2 71 134 7
3 72 135 8
2 73 139 8
3 74 140 8
2 75 141 8
1 76 143 8
0 77 146 8
1 78 152 8
0 79 153 8
1 80 156 8
0 81 157 8
1 82 159 8
2 83 160 8
1 84 161 8
0 85 163 8
1 86 168 9
0 87 169 9
1 88 170 9
2 89 171 9
3 90 174 9
4 91 176 9
5 92 177 9
4 93 178 9
3 94 179 9
2 95 181 9
1 96 183 9
0 97 185 9
1 98 193 10
0 99 194 10
1 100 197 10
0 101 198 10
1 102 199 10
2 103 200 10
1 104 201 10
0 105 204 10
1 106 209 11
2 107 210 11
3 108 211 11
2 109 212 11
1 110 214 11
0 111 217 11
1 112 219 11
2 113 220 11
3 114 222 11
2 115 223 11
1 116 227 11
2 117 228 11
3 118 229 11
2 119 230 11
1 120 233 11
2 121 234 11
3 122 237 11
2 123 238 11
1 124 239 11
0 125 241 11
1 126 243 11
2 127 244 11
1 128 249 11
0 129 251 11
1 130 253 11
0 131 254 11
1 132 255 11
0 133 261 11
1 134 263 11
0 135 264 11
1 136 267 11
2 137 268 11
3 138 269 11
4 139 272 11
3 140 273 11
4 141 274 11
3 142 275 11
4 143 276 11
5 144 277 11
6 145 279 11
7 146 281 11
6 147 282 11
7 148 283 11
8 149 286 11
7 150 287 11
8 151 288 11
7 152 292 11
6 153 293 11
5 154 295 11
6 155 297 11
5 156 299 11
6 157 301 11
7 158 302 11
8 159 303 11
9 160 306 12
8 161 310 12
9 162 311 12
8 163 312 12
7 164 315 12
6 165 317 12
5 166 321 12
4 167 323 12
5 168 324 12
6 169 326 12
5 170 329 12
6 171 332 12
5 172 333 12
6 173 334 12
7 174 335 12
8 175 336 12
7 176 339 13
8 177 342 13
9 178 343 13
8 179 345 13
9 180 346 13
8 181 348 13
7 182 350 13
8 183 352 13
7 184 354 13
8 185 356 13
7 186 357 13
8 187 362 13
7 188 363 13
6 189 365 13
5 190 369 13
4 191 372 13
3 192 375 13
2 193 377 13
1 194 379 13
0 195 382 13
1 196 387 14
0 197 388 14
1 198 393 15
2 199 394 15
1 200 395 15
2 201 396 15
1 202 397 15
2 203 398 15
3 204 399 15
2 205 401 15
1 206 403 15
0 207 405 15
1 208 406 15
2 209 408 15
3 210 409 15
2 211 411 15
1 212 415 15
2 213 418 16
3 214 419 16
4 215 420 16
3 216 423 16
4 217 424 16
5 218 425 16
6 219 426 16
5 220 429 16
6 221 430 16
5 222 432 16
6 223 434 17
7 224 435 17
6 225 437 17
5 226 440 17
4 227 443 17
3 228 446 17
2 229 448 17
1 230 452 17
0 231 456 18
1 232 457 18
2 233 458 18
1 234 461 18
2 235 462 18
1 236 466 18
0 237 468 18
1 238 471 18
2 239 472 18
3 240 473 18
4 241 474 18
5 242 475 18
4 243 476 18
3 244 479 18
4 245 480 18
3 246 482 18
2 247 486 18
1 248 488 18
0 249 491 18
1 250 495 19
2 251 496 19
3 252 497 19
2 253 498 19
3 254 499 19
4 255 501 19
3 256 502 19
4 257 505 19
5 258 506 19
6 259 507 19
7 260 509 19
8 261 510 19
7 262 511 19
6 263 513 19
7 264 514 19
8 265 516 19
7 266 518 19
8 267 520 19
7 268 522 19
8 269 524 19
7 270 527 20
8 271 531 20
9 272 533 20
10 273 534 20
9 274 535 20
10 275 538 20
9 276 539 20
8 277 541 20
9 278 543 20
8 279 544 20
7 280 548 20
8 281 550 20
7 282 551 20
6 283 552 20
5 284 556 20
4 285 560 20
3 286 561 20
2 287 563 20
1 288 566 20
0 289 569 20
1 290 577 21
2 291 578 21
1 292 579 21
2 293 580 21
3 294 583 21
2 295 584 21
3 296 585 21
2 297 587 21
1 298 588 21
0 299 594 21
1 300 597 22
0 301 598 22
1 302 599 22
2 303 600 22
