#data counter step time
1 1 18 1
1 2 25 1
1 3 30 1
1 4 31 1
1 5 32 1
1 6 33 1
1 7 37 1
1 8 44 1
0 9 46 1
1 10 47 1
2 11 53 2
1 12 55 2
1 13 57 2
1 14 59 2
1 15 61 2
1 16 75 3
0 17 78 3
0 18 79 3
0 19 85 3
0 20 86 3
0 21 95 3
0 22 97 3
0 23 104 3
0 24 105 3
0 25 108 3
0 26 112 3
0 27 118 3
0 28 119 3
0 29 120 3
0 30 125 3
0 31 128 3
0 32 136 3
0 33 138 3
0 34 142 3
0 35 145 3
0 36 148 3
0 37 156 3
0 38 160 3
0 39 162 3
0 40 169 3
0 41 179 3
0 42 180 3
1 43 182 4
1 44 186 4
2 45 189 5
2 46 193 5
2 47 197 5
2 48 203 5
2 49 204 5
2 50 205 5
2 51 208 5
2 52 210 5
1 53 214 5
1 54 217 6
0 55 221 6
0 56 228 6
0 57 233 6
0 58 238 6
0 59 239 6
0 60 240 6
0 61 249 6
0 62 250 6
0 63 252 6
1 64 264 8
1 65 267 8
1 66 269 8
0 67 273 8
0 68 280 8
0 69 281 8
0 70 285 8
0 71 293 8
0 72 294 8
0 73 295 8
0 74 296 8
0 75 300 9
0 76 306 9
0 77 318 9
0 78 322 9
0 79 326 9
0 80 327 9
0 81 333 9
1 82 336 10
1 83 338 10
1 84 343 10
1 85 347 10
1 86 349 10
1 87 353 10
1 88 358 10
1 89 359 10
0 90 365 10
0 91 366 10
1 92 373 11
0 93 380 11
0 94 391 11
0 95 393 11
0 96 394 11
0 97 400 11
0 98 403 11
1 99 408 12
1 100 412 12
1 101 418 12
1 102 420 12
1 103 422 12
1 104 426 12
0 105 438 12
1 106 442 12
1 107 443 12
1 108 444 12
0 109 448 12
2 110 451 13
2 111 455 14
2 112 458 14
2 113 466 14
2 114 467 14
2 115 471 14
2 116 472 14
2 117 473 14
2 118 476 14
3 119 481 15
1 120 484 15
2 121 485 15
0 122 488 15
0 123 492 16
0 124 496 17
0 125 505 17
0 126 512 17
0 127 513 17
0 128 514 17
0 129 518 17
0 130 520 17
0 131 526 18
0 132 536 18
0 133 540 18
0 134 544 18
1 135 547 19
1 136 551 19
1 137 555 19
1 138 559 19
1 139 561 19
1 140 564 19
0 141 570 19
0 142 572 19
0 143 574 19
1 144 579 20
0 145 580 20
0 146 585 21
0 147 592 21
0 148 596 21
0 149 599 21
0 150 600 21
0 151 607 22
0 152 608 22
1 153 618 24
1 154 626 24
0 155 632 24
1 156 637 24
0 157 639 24
1 158 644 24
0 159 647 24
0 160 654 24
0 161 656 24
0 162 661 24
0 163 662 24
0 164 663 24
0 165 666 24
0 166 670 24
1 167 674 25
2 168 679 25
1 169 686 25
1 170 687 25
0 171 694 25
0 172 708 25
0 173 711 25
0 174 712 25
0 175 714 25
0 176 715 25
0 177 716 25
0 178 719 25
0 179 722 25
0 180 725 25
1 181 730 26
1 182 734 26
1 183 736 26
0 184 738 26
0 185 740 26
0 186 750 27
0 187 756 27
0 188 759 27
0 189 767 27
0 190 768 27
0 191 773 27
0 192 777 27
0 193 779 27
0 194 781 27
0 195 784 27
0 196 788 27
0 197 790 27
1 198 792 28
0 199 799 28
0 200 809 28
0 201 812 28
0 202 815 28
1 203 819 29
1 204 823 29
1 205 829 29
1 206 835 29
1 207 842 29
0 208 843 29
1 209 847 29
0 210 849 29
0 211 850 29
0 212 853 29
0 213 856 29
0 214 859 29
1 215 868 30
0 216 872 30
2 217 875 30
0 218 884 30
0 219 885 30
0 220 888 30
1 221 891 31
1 222 896 31
1 223 899 31
1 224 907 31
1 225 913 31
0 226 922 31
0 227 924 31
0 228 932 31
1 229 933 31
0 230 935 31
0 231 939 31
0 232 940 31
0 233 941 31
0 234 945 31
0 235 949 31
1 236 955 32
1 237 960 32
1 238 968 32
1 239 969 32
1 240 970 32
1 241 971 32
1 242 978 32
1 243 979 32
1 244 982 32
1 245 984 32
0 246 987 32
0 247 991 32
0 248 992 32
0 249 998 33
