#data counter step time
0 1 0 0
1 2 2 0
0 3 5 0
1 4 9 0
0 5 11 0
1 6 17 0
0 7 18 0
1 8 21 0
2 9 23 0
1 10 25 0
0 11 26 0
1 12 27 0
0 13 28 0
1 14 32 0
2 15 34 0
1 16 35 0
2 17 37 0
1 18 40 0
2 19 41 0
1 20 45 0
2 21 46 0
1 22 48 0
2 23 49 0
1 24 52 0
2 25 53 0
1 26 55 0
2 27 56 0
1 28 58 0
2 29 62 0
1 30 65 0
2 31 66 0
1 32 68 0
2 33 71 0
1 34 72 0
2 35 76 0
1 36 77 0
2 37 80 0
1 38 81 1
0 39 83 1
1 40 85 1
0 41 86 1
1 42 87 1
2 43 90 1
1 44 91 1
2 45 93 1
1 46 94 1
2 47 95 1
1 48 96 1
2 49 99 1
1 50 105 2
0 51 106 2
1 52 107 2
0 53 108 2
1 54 111 2
0 55 112 2
1 56 113 2
0 57 114 2
1 58 115 2
2 59 117 2
1 60 118 2
0 61 119 2
1 62 121 2
2 63 122 2
1 64 124 2
2 65 125 2
1 66 126 2
0 67 131 2
1 68 135 3
0 69 136 3
1 70 137 3
0 71 139 3
1 72 142 4
0 73 143 4
1 74 146 4
0 75 147 4
1 76 150 5
0 77 152 5
1 78 153 5
0 79 157 5
1 80 158 5
2 81 160 5
1 82 162 5
2 83 163 5
1 84 173 6
0 85 174 6
1 86 179 6
2 87 180 6
1 88 181 6
0 89 183 6
1 90 185 6
2 91 187 6
1 92 188 6
0 93 189 6
1 94 195 6
2 95 196 6
1 96 197 6
2 97 198 6
1 98 201 6
2 99 203 6
1 100 205 6
0 101 208 6
1 102 210 6
0 103 212 6
1 104 215 6
2 105 216 6
1 106 217 6
2 107 218 6
1 108 221 6
2 109 223 6
1 110 225 6
2 111 226 6
1 112 228 6
0 113 230 6
1 114 232 6
2 115 233 6
1 116 234 6
2 117 239 6
1 118 240 6
0 119 241 6
1 120 243 6
2 121 246 6
1 122 247 6
0 123 248 6
1 124 249 6
2 125 250 6
1 126 251 6
0 127 252 6
1 128 253 6
0 129 254 6
1 130 257 6
0 131 259 6
1 132 261 6
0 133 262 6
1 134 263 6
0 135 265 6
1 136 272 7
0 137 274 7
1 138 276 7
2 139 278 7
1 140 280 7
2 141 282 7
1 142 283 7
0 143 285 7
1 144 288 7
2 145 289 7
1 146 291 7
2 147 295 7
1 148 296 7
2 149 298 7
1 150 300 7
2 151 302 7
1 152 303 7
2 153 306 7
1 154 308 7
2 155 309 7
1 156 310 7
2 157 316 7
1 158 317 7
2 159 321 7
1 160 322 7
2 161 323 7
1 162 325 7
2 163 326 7
1 164 327 7
2 165 328 7
1 166 333 7
2 167 335 7
1 168 336 7
2 169 341 7
1 170 345 8
0 171 346 8
1 172 349 8
2 173 352 8
1 174 353 8
2 175 355 8
1 176 357 9
0 177 358 9
1 178 360 9
2 179 361 9
1 180 364 9
0 181 367 9
1 182 370 9
2 183 372 9
1 184 373 9
2 185 375 9
1 186 377 9
2 187 380 9
1 188 381 9
2 189 384 9
1 190 385 9
2 191 387 9
1 192 388 9
2 193 389 9
1 194 390 9
2 195 393 9
1 196 394 9
2 197 399 9
1 198 400 9
2 199 401 9
1 200 402 9
2 201 403 9
1 202 408 9
2 203 411 9
1 204 413 9
2 205 415 9
1 206 417 10
2 207 418 10
1 208 421 10
0 209 423 10
1 210 424 10
0 211 426 10
1 212 431 10
0 213 432 10
1 214 434 10
0 215 436 10
1 216 437 10
2 217 438 10
1 218 439 10
2 219 440 10
1 220 444 10
2 221 446 10
1 222 449 10
0 223 450 10
1 224 452 10
0 225 454 10
1 226 457 10
0 227 459 10
1 228 462 10
0 229 463 10
1 230 465 10
2 231 467 10
1 232 468 10
2 233 470 10
1 234 471 10
2 235 473 10
1 236 474 10
2 237 475 10
1 238 477 11
2 239 479 11
1 240 482 11
0 241 484 11
1 242 486 11
0 243 487 11
1 244 490 11
2 245 491 11
1 246 497 11
2 247 499 11
1 248 500 11
2 249 503 11
1 250 504 11
2 251 505 11
1 252 507 11
2 253 512 11
1 254 513 11
2 255 514 11
1 256 517 11
2 257 520 11
1 258 521 11
2 259 523 11
1 260 524 11
2 261 526 11
1 262 528 11
2 263 529 11
1 264 532 11
2 265 536 11
1 266 537 11
2 267 538 11
1 268 539 11
2 269 540 11
1 270 541 11
2 271 542 11
1 272 545 11
2 273 546 11
1 274 549 11
2 275 550 11
1 276 557 12
2 277 558 12
1 278 560 12
0 279 562 12
1 280 564 12
2 281 565 12
1 282 568 12
0 283 569 12
1 284 570 12
2 285 572 12
1 286 575 12
2 287 576 12
1 288 578 12
2 289 579 12
1 290 580 12
2 291 585 12
1 292 586 12
0 293 588 12
1 294 590 12
2 295 593 12
1 296 594 12
2 297 597 12
1 298 601 12
2 299 603 12
1 300 605 13
2 301 606 13
1 302 609 13
0 303 612 13
1 304 615 13
0 305 616 13
1 306 619 13
2 307 620 13
1 308 621 13
2 309 624 13
1 310 625 13
0 311 626 13
1 312 630 13
2 313 631 13
1 314 632 13
0 315 633 13
1 316 637 13
2 317 638 13
1 318 641 13
2 319 643 13
1 320 645 13
0 321 646 13
1 322 647 13
0 323 651 13
1 324 653 13
0 325 654 13
1 326 655 13
2 327 658 13
1 328 660 13
0 329 661 13
1 330 662 13
2 331 663 13
1 332 667 13
2 333 668 13
1 334 673 13
2 335 675 13
1 336 677 14
0 337 678 14
1 338 679 14
2 339 680 14
1 340 683 14
