#data counter step time
0 1 0 0
1 2 1 0
2 3 2 0
3 4 3 0
4 5 4 0
5 6 5 0
4 7 6 0
3 8 7 0
4 9 10 0
3 10 13 0
2 11 15 0
1 12 16 0
0 13 19 0
1 14 25 1
0 15 26 1
1 16 27 1
0 17 29 1
1 18 30 1
0 19 31 1
1 20 33 1
2 21 34 1
1 22 37 1
2 23 39 1
1 24 42 1
2 25 43 1
3 26 44 1
4 27 46 1
5 28 47 1
4 29 48 1
5 30 51 1
4 31 52 1
5 32 53 1
6 33 54 1
7 34 55 1
8 35 56 1
9 36 59 2
8 37 60 2
7 38 62 2
6 39 63 2
7 40 64 2
8 41 67 2
9 42 68 2
8 43 74 2
7 44 75 2
6 45 77 2
5 46 80 2
4 47 84 2
3 48 86 2
2 49 88 2
1 50 92 2
0 51 96 2
1 52 99 3
2 53 101 3
1 54 102 3
0 55 103 3
1 56 107 3
2 57 109 3
1 58 110 3
2 59 112 3
3 60 115 3
4 61 116 3
5 62 117 3
6 63 118 3
7 64 119 3
8 65 120 3
7 66 121 3
6 67 122 3
7 68 123 3
6 69 126 3
5 70 128 3
6 71 129 3
7 72 135 3
8 73 136 3
7 74 137 3
8 75 138 3
7 76 139 3
8 77 142 3
9 78 143 3
8 79 144 3
7 80 147 3
6 81 150 3
5 82 152 3
4 83 155 3
5 84 157 4
6 85 159 4
5 86 162 4
4 87 164 4
3 88 167 4
2 89 171 4
1 90 172 4
0 91 177 4
1 92 181 5
2 93 182 5
1 94 183 5
2 95 184 5
1 96 186 5
2 97 189 5
1 98 191 5
2 99 193 5
1 100 195 5
0 101 196 5
1 102 199 6
0 103 200 6
1 104 201 6
0 105 204 6
1 106 205 6
2 107 206 6
3 108 207 6
2 109 208 6
1 110 210 6
0 111 214 6
1 112 221 7
0 113 222 7
1 114 223 7
0 115 224 7
1 116 226 7
0 117 230 7
1 118 231 7
0 119 234 7
1 120 235 7
2 121 237 7
3 122 238 7
4 123 239 7
3 124 240 7
2 125 241 7
1 126 244 7
2 127 246 7
3 128 248 7
2 129 249 7
3 130 250 7
4 131 252 7
5 132 254 7
6 133 255 7
7 134 257 7
8 135 258 7
7 136 259 7
8 137 260 7
7 138 263 7
8 139 264 7
7 140 266 7
6 141 270 7
7 142 271 7
6 143 274 7
5 144 276 7
4 145 278 7
3 146 283 7
2 147 286 7
1 148 289 7
0 149 291 7
1 150 295 8
0 151 297 8
1 152 299 8
0 153 300 8
1 154 303 8
0 155 304 8
1 156 305 8
0 157 306 8
1 158 313 9
0 159 314 9
1 160 316 9
0 161 317 9
1 162 318 9
2 163 319 9
3 164 320 9
2 165 321 9
3 166 324 9
4 167 325 9
3 168 326 9
4 169 327 9
5 170 328 9
4 171 331 9
5 172 332 9
6 173 333 9
7 174 334 9
6 175 337 9
5 176 341 9
4 177 344 9
5 178 345 10
6 179 347 10
5 180 349 10
6 181 351 10
7 182 353 10
6 183 354 10
5 184 355 10
4 185 357 10
3 186 360 10
4 187 361 10
5 188 367 11
4 189 369 11
3 190 370 11
2 191 374 11
3 192 376 12
2 193 378 12
3 194 380 12
4 195 381 12
5 196 382 12
4 197 383 12
3 198 386 12
4 199 388 12
3 200 389 12
2 201 392 12
3 202 393 12
4 203 394 12
5 204 397 12
6 205 398 12
7 206 399 12
8 207 400 12
7 208 402 13
8 209 404 13
9 210 406 13
8 211 408 13
7 212 411 14
6 213 413 14
5 214 415 14
6 215 420 14
5 216 421 14
4 217 423 14
5 218 424 14
6 219 425 14
7 220 426 14
8 221 427 14
7 222 429 14
8 223 431 14
9 224 432 14
8 225 434 14
9 226 439 14
8 227 440 14
9 228 443 14
8 229 444 14
9 230 447 14
8 231 448 14
7 232 450 14
8 233 451 14
7 234 455 15
8 235 457 15
7 236 460 15
6 237 462 15
5 238 463 15
4 239 465 15
5 240 466 15
4 241 471 15
3 242 473 15
4 243 474 15
5 244 475 15
4 245 479 15
5 246 481 15
6 247 482 15
7 248 484 15
6 249 485 15
7 250 487 15
6 251 488 15
5 252 490 15
6 253 491 15
7 254 494 15
8 255 496 15
7 256 497 15
6 257 498 15
5 258 501 15
6 259 503 15
7 260 505 15
8 261 507 15
7 262 508 15
6 263 516 15
5 264 519 15
4 265 520 15
3 266 524 15
2 267 525 15
1 268 528 15
0 269 533 15
1 270 537 16
2 271 538 16
3 272 539 16
4 273 540 16
5 274 541 16
4 275 542 16
3 276 543 16
4 277 544 16
5 278 548 16
6 279 550 16
7 280 551 16
6 281 552 16
5 282 553 16
6 283 554 16
7 284 555 16
6 285 558 16
7 286 560 16
6 287 561 16
7 288 563 16
8 289 564 16
7 290 566 16
8 291 568 16
9 292 570 16
8 293 572 16
9 294 574 16
8 295 575 16
7 296 578 16
6 297 579 16
7 298 583 16
6 299 584 16
5 300 585 16
6 301 587 16
5 302 590 16
6 303 591 16
