,epoch,step,reward,done,action,evaluation_state
0,0.0,0.0,0.0,0.0,1.0,0.0
1,0.0,1.0,0.0,False,2.0,False
2,0.0,2.0,0.0,False,1.0,False
3,0.0,3.0,0.0,False,2.0,False
4,0.0,4.0,0.0,False,1.0,False
5,0.0,5.0,0.0,False,0.0,False
6,0.0,6.0,1.0,False,2.0,False
7,0.0,7.0,1.0,False,2.0,False
8,0.0,8.0,1.0,False,0.0,False
9,0.0,9.0,0.0,True,1.0,False
10,1.0,0.0,0.0,False,2.0,False
11,1.0,1.0,0.0,False,1.0,False
12,1.0,2.0,0.0,False,2.0,False
13,1.0,3.0,0.0,False,2.0,False
14,1.0,4.0,0.0,False,0.0,False
15,1.0,5.0,0.0,False,1.0,False
16,1.0,6.0,1.0,False,1.0,False
17,1.0,7.0,0.0,True,2.0,False
18,2.0,0.0,0.0,False,1.0,False
19,2.0,1.0,0.0,False,0.0,False
20,2.0,2.0,0.0,False,0.0,False
21,2.0,3.0,0.0,False,1.0,False
22,2.0,4.0,0.0,False,1.0,False
23,2.0,5.0,0.0,False,0.0,False
24,2.0,6.0,1.0,False,2.0,False
25,2.0,7.0,1.0,False,0.0,False
26,2.0,8.0,1.0,False,0.0,False
27,2.0,9.0,0.0,True,2.0,False
28,3.0,0.0,0.0,False,1.0,False
29,3.0,1.0,0.0,False,0.0,False
30,3.0,2.0,0.0,False,0.0,False
31,3.0,3.0,0.0,False,1.0,False
32,3.0,4.0,0.0,False,2.0,False
33,3.0,5.0,0.0,False,0.0,False
34,3.0,6.0,1.0,False,2.0,False
35,3.0,7.0,1.0,False,1.0,False
36,3.0,8.0,0.0,True,2.0,False
37,4.0,0.0,0.0,False,1.0,False
38,4.0,1.0,0.0,False,2.0,False
39,4.0,2.0,0.0,False,2.0,False
40,4.0,3.0,0.0,False,2.0,False
41,4.0,4.0,0.0,False,0.0,False
42,4.0,5.0,0.0,False,2.0,False
43,4.0,6.0,0.0,True,0.0,False
44,5.0,0.0,0.0,False,1.0,False
45,5.0,1.0,0.0,False,2.0,False
46,5.0,2.0,0.0,False,1.0,False
47,5.0,3.0,0.0,False,2.0,False
48,5.0,4.0,0.0,False,1.0,False
49,5.0,5.0,0.0,False,2.0,False
